iter	Passed	Remaining
1442	28236	1115
1443	28256	1095
1444	28276	1076
1445	28296	1056
1446	28316	1037
1447	28335	1017
1448	28353	997
1449	28371	978
1450	28390	958
1451	28409	939
1452	28428	919
1453	28448	900
1454	28467	880
1455	28488	860
1456	28509	841
1457	28528	821
1458	28547	802
1459	28567	782
1460	28588	763
1461	28607	743
1462	28626	723
1463	28647	704
1464	28666	684
1465	28685	665
1466	28705	645
1467	28724	626
1468	28743	606
1469	28763	587
1470	28784	567
1471	28803	547
1472	28823	528
1473	28843	508
1474	28861	489
1475	28882	469
1476	28900	450
1477	28920	430
1478	28941	410
1479	28960	391
1480	28979	371
1481	28997	352
1482	29018	332
1483	29038	313
1484	29058	293
1485	29078	273
1486	29100	254
1487	29120	234
1488	29139	215
1489	29159	195
1490	29181	176
1491	29200	156
1492	29219	136
1493	29239	117
1494	29258	97
1495	29277	78
1496	29297	58
1497	29317	39
1498	29336	19
1499	29356	0
